,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id
14082,21400886,"MAR 02, 2015 - GSW @ BKN",A,L,-2,13,4,3:17,14.8,13,9.4,23.8,3,made,"Young, Thaddeus",201152,6.3,1,3,stephen curry,201939
14083,21400886,"MAR 02, 2015 - GSW @ BKN",A,L,-2,14,4,2:26,20.5,0,1.9,24.9,3,made,"Williams, Deron",101114,11.4,1,3,stephen curry,201939
14084,21400886,"MAR 02, 2015 - GSW @ BKN",A,L,-2,15,4,2:08,21.4,0,0.7,25.0,3,missed,"Jack, Jarrett",101127,7.1,0,0,stephen curry,201939
14085,21400886,"MAR 02, 2015 - GSW @ BKN",A,L,-2,16,4,1:10,16.6,1,1.1,21.6,2,made,"Williams, Deron",101114,8.3,1,2,stephen curry,201939
14086,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,1,1,11:24,17.8,0,0.8,0.9,2,made,"Bradley, Avery",202340,1.2,1,2,stephen curry,201939
14087,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,2,1,8:24,19.2,5,5.0,25.5,3,made,"Bradley, Avery",202340,5.2,1,3,stephen curry,201939
14088,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,3,1,6:00,9.5,0,0.6,3.3,2,missed,"Bradley, Avery",202340,1.8,0,0,stephen curry,201939
14089,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,4,1,5:29,6.0,2,1.7,24.5,3,missed,"Bradley, Avery",202340,3.8,0,0,stephen curry,201939
14090,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,5,1,3:47,16.3,5,5.7,11.4,2,made,"Bass, Brandon",101138,4.3,1,2,stephen curry,201939
14091,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,6,1,2:18,10.7,2,2.9,5.5,2,made,"Zeller, Tyler",203092,3.3,1,2,stephen curry,201939
14092,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,7,1,2:03,17.6,5,4.3,25.2,3,made,"Turner, Evan",202323,5.1,1,3,stephen curry,201939
14093,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,8,1,0:57,17.4,11,9.8,12.7,2,made,"Thomas, Isaiah",202738,2.8,1,2,stephen curry,201939
14094,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,9,1,0:38,17.6,6,6.5,22.8,2,missed,"Thomas, Isaiah",202738,0.4,0,0,stephen curry,201939
14095,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,10,1,0:26,15.6,0,0.7,24.6,3,missed,"Thomas, Isaiah",202738,4.8,0,0,stephen curry,201939
14096,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,11,2,6:16,16.0,1,2.4,23.1,3,missed,"Crowder, Jae",203109,4.1,0,0,stephen curry,201939
14097,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,12,2,2:11,18.2,7,5.5,6.0,2,made,"Crowder, Jae",203109,3.2,1,2,stephen curry,201939
14098,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,13,2,0:43,21.0,0,0.6,25.5,3,made,"Turner, Evan",202323,6.3,1,3,stephen curry,201939
14099,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,14,2,0:05,,18,15.9,4.1,2,missed,"Zeller, Tyler",203092,2.1,0,0,stephen curry,201939
14100,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,15,3,10:07,18.5,8,5.6,5.5,2,made,"Zeller, Tyler",203092,3.9,1,2,stephen curry,201939
14101,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,16,3,9:49,21.5,0,1.0,3.8,2,made,"Bradley, Avery",202340,6.7,1,2,stephen curry,201939
14102,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,17,3,8:43,20.9,2,3.9,24.3,3,made,"Bass, Brandon",101138,7.7,1,3,stephen curry,201939
14103,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,18,3,8:10,11.9,0,1.0,23.2,2,missed,"Turner, Evan",202323,5.2,0,0,stephen curry,201939
14104,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,19,4,9:27,17.1,0,1.0,24.5,3,made,"Thomas, Isaiah",202738,11.0,1,3,stephen curry,201939
14105,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,20,4,7:30,13.7,2,3.7,16.8,2,made,"Zeller, Tyler",203092,3.2,1,2,stephen curry,201939
14106,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,21,4,6:52,17.3,5,4.5,24.4,2,missed,"Jerebko, Jonas",201973,5.6,0,0,stephen curry,201939
14107,21400880,"MAR 01, 2015 - GSW @ BOS",A,W,5,22,4,2:39,12.0,1,2.9,18.5,2,made,"Bradley, Avery",202340,1.1,1,2,stephen curry,201939
14108,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,1,1,11:20,23.9,0,0.8,4.9,2,made,"Valanciunas, Jonas",202685,5.2,1,2,stephen curry,201939
14109,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,2,1,10:06,20.4,3,2.4,2.8,2,made,"DeRozan, DeMar",201942,28.7,1,2,stephen curry,201939
14110,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,3,1,8:03,9.8,0,1.1,19.8,2,missed,"Lowry, Kyle",200768,3.5,0,0,stephen curry,201939
14111,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,4,1,7:30,11.8,0,1.0,3.3,2,missed,"Lowry, Kyle",200768,3.4,0,0,stephen curry,201939
14112,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,5,1,2:10,15.4,2,3.2,20.9,2,missed,"Williams, Lou",101150,3.5,0,0,stephen curry,201939
14113,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,6,1,1:10,17.0,5,4.8,23.7,3,made,"Ross, Terrence",203082,2.8,1,3,stephen curry,201939
14114,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,7,2,3:15,22.2,1,2.2,14.1,2,made,"Johnson, James",201949,3.9,1,2,stephen curry,201939
14115,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,8,2,1:21,16.0,10,8.3,10.5,2,missed,"Lowry, Kyle",200768,1.1,0,0,stephen curry,201939
14116,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,9,3,7:47,15.1,6,6.6,28.5,3,missed,"Hansbrough, Tyler",201946,6.8,0,0,stephen curry,201939
14117,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,10,3,6:17,17.2,0,0.9,4.6,2,made,"Hansbrough, Tyler",201946,3.5,1,2,stephen curry,201939
14118,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,11,3,4:41,9.0,0,0.9,0.8,2,made,"Williams, Lou",101150,3.4,1,2,stephen curry,201939
14119,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,12,3,4:08,21.3,1,3.5,24.8,3,made,"Vasquez, Greivis",202349,6.7,1,3,stephen curry,201939
14120,21400861,"FEB 27, 2015 - GSW @ TOR",A,W,24,13,3,3:11,13.1,0,0.7,24.7,3,made,"Williams, Lou",101150,4.7,1,3,stephen curry,201939
14121,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,1,1,9:57,16.9,0,1.0,24.2,3,made,"Irving, Kyrie",202681,2.7,1,3,stephen curry,201939
14122,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,2,1,9:18,9.2,2,1.9,25.4,3,missed,"Irving, Kyrie",202681,4.9,0,0,stephen curry,201939
14123,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,3,1,6:46,12.8,0,1.2,22.2,3,made,"Smith, J.R.",2747,17.7,1,3,stephen curry,201939
14124,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,4,1,4:47,20.0,5,4.6,25.9,3,made,"Mozgov, Timofey",202389,5.7,1,3,stephen curry,201939
14125,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,5,1,1:34,10.4,9,5.7,25.5,3,missed,"Love, Kevin",201567,4.0,0,0,stephen curry,201939
14126,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,6,1,0:03,,9,6.9,22.5,2,missed,"Shumpert, Iman",202697,3.8,0,0,stephen curry,201939
14127,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,7,2,2:17,12.0,3,4.5,6.2,2,made,"Love, Kevin",201567,3.9,1,2,stephen curry,201939
14128,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,8,3,9:56,20.5,4,3.3,25.0,3,missed,"Irving, Kyrie",202681,3.6,0,0,stephen curry,201939
14129,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,9,3,8:36,17.6,8,6.9,8.5,2,missed,"Love, Kevin",201567,4.1,0,0,stephen curry,201939
14130,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,10,3,8:12,16.0,0,0.9,19.7,2,missed,"Irving, Kyrie",202681,2.6,0,0,stephen curry,201939
14131,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,11,3,6:39,17.0,8,7.1,4.2,2,made,"Irving, Kyrie",202681,4.3,1,2,stephen curry,201939
14132,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,12,3,6:11,14.0,0,0.8,25.5,3,missed,"Smith, J.R.",2747,7.7,0,0,stephen curry,201939
14133,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,13,3,5:20,12.1,3,2.8,7.4,2,missed,"Irving, Kyrie",202681,3.7,0,0,stephen curry,201939
14134,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,14,4,4:48,14.4,3,3.1,18.8,2,missed,"Love, Kevin",201567,4.4,0,0,stephen curry,201939
14135,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,15,4,3:02,17.8,7,6.4,4.0,2,missed,"Irving, Kyrie",202681,0.4,0,0,stephen curry,201939
14136,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,16,4,2:04,22.8,0,0.8,26.6,3,missed,"Smith, J.R.",2747,5.8,0,0,stephen curry,201939
14137,21400854,"FEB 26, 2015 - GSW @ CLE",A,L,-11,17,4,1:08,19.5,0,0.7,24.6,3,missed,"Shumpert, Iman",202697,5.5,0,0,stephen curry,201939
14138,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,1,1,9:47,13.3,1,1.2,22.1,3,missed,"Wall, John",202322,2.1,0,0,stephen curry,201939
14139,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,2,1,9:27,16.1,9,7.8,25.5,3,made,"Pierce, Paul",1718,5.7,1,3,stephen curry,201939
14140,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,3,1,7:56,21.0,1,1.8,2.3,2,made,"Pierce, Paul",1718,9.8,1,2,stephen curry,201939
14141,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,4,1,7:31,17.7,8,6.6,0.9,2,missed,Nene,2403,2.3,0,0,stephen curry,201939
14142,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,5,1,4:44,16.4,2,2.2,18.9,2,made,"Wall, John",202322,3.3,1,2,stephen curry,201939
14143,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,6,1,2:37,19.2,5,3.9,24.6,3,made,"Wall, John",202322,2.0,1,3,stephen curry,201939
14144,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,7,1,1:16,14.2,17,9.2,26.2,3,made,"Sessions, Ramon",201196,2.8,1,3,stephen curry,201939
14145,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,8,1,0:49,11.4,0,0.9,25.1,3,missed,"Sessions, Ramon",201196,3.0,0,0,stephen curry,201939
14146,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,9,3,11:44,8.1,0,0.9,23.5,3,made,"Wall, John",202322,6.7,1,3,stephen curry,201939
14147,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,10,3,9:12,21.2,4,2.7,28.5,3,missed,"Wall, John",202322,4.9,0,0,stephen curry,201939
14148,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,11,3,5:39,9.2,3,5.0,16.8,2,made,Nene,2403,3.3,1,2,stephen curry,201939
14149,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,12,3,4:50,11.0,4,3.3,8.3,2,missed,Nene,2403,2.3,0,0,stephen curry,201939
14150,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,13,3,4:41,17.5,2,2.0,24.5,3,missed,"Wall, John",202322,5.4,0,0,stephen curry,201939
14151,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,14,3,1:26,15.0,0,0.9,25.0,3,made,"Sessions, Ramon",201196,5.5,1,3,stephen curry,201939
14152,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,15,3,0:57,18.1,4,3.1,20.4,2,made,"Sessions, Ramon",201196,3.7,1,2,stephen curry,201939
14153,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,16,3,0:37,18.8,7,4.6,4.5,2,made,"Seraphin, Kevin",202338,2.7,1,2,stephen curry,201939
14154,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,17,4,2:29,11.0,0,0.6,22.2,2,missed,"Wall, John",202322,3.0,0,0,stephen curry,201939
14155,21400838,"FEB 24, 2015 - GSW @ WAS",A,W,7,18,4,1:28,9.6,5,3.8,9.2,2,made,Nene,2403,3.2,1,2,stephen curry,201939
14156,21400814,"FEB 20, 2015 - GSW vs. SAS",H,W,11,1,1,9:13,16.6,0,3.6,23.8,3,missed,"Baynes, Aron",203382,0.2,0,0,stephen curry,201939
14157,21400814,"FEB 20, 2015 - GSW vs. SAS",H,W,11,2,1,8:38,7.0,1,2.9,5.5,2,made,"Duncan, Tim",1495,2.4,1,2,stephen curry,201939
